sts1_event_name,sts2_entry,source_filename,dest_filename,required
bigFish,sts1_big_fish,bigFish.png,sts1_big_fish.png,true
goldenIdol,sts1_golden_idol,goldenIdol.png,sts1_golden_idol.png,true
theCleric,sts1_the_cleric,theCleric.png,sts1_the_cleric.png,true
goldenWing,sts1_golden_wing,goldenWing.png,sts1_golden_wing.png,true
livingWall,sts1_living_wall,livingWall.png,sts1_living_wall.png,true
oldBeggar,sts1_old_beggar,oldBeggar.png,sts1_old_beggar.png,true
theWomanInBlue,sts1_the_woman_in_blue,theWomanInBlue.png,sts1_the_woman_in_blue.png,true
bonfireSpirits,sts1_bonfire_spirits,bonfireSpirits.png,sts1_bonfire_spirits.png,true
divineFountain,sts1_divine_fountain,divineFountain.png,sts1_divine_fountain.png,true
duplicator,sts1_duplicator,duplicator.png,sts1_duplicator.png,true
faceTrader,sts1_face_trader,faceTrader.png,sts1_face_trader.png,true
fountainOfCleansing,sts1_fountain_of_cleansing,fountainOfCleansing.png,sts1_fountain_of_cleansing.png,true
theMausoleum,sts1_the_mausoleum,theMausoleum.png,sts1_the_mausoleum.png,true
wheelOfChange,sts1_wheel_of_change,wheelOfChange.png,sts1_wheel_of_change.png,true
theLab,sts1_the_lab,theLab.png,sts1_the_lab.png,true
designer,sts1_designer,designer.png,sts1_designer.png,true
joust,sts1_joust,joust.png,sts1_joust.png,true
theSsssserpent,sts1_the_ssssserpent,theSsssserpent.png,sts1_the_ssssserpent.png,true
shiningLight,sts1_shining_light,shiningLight.png,sts1_shining_light.png,true
deadAdventurer,sts1_dead_adventurer,deadAdventurer.png,sts1_dead_adventurer.png,true
mushrooms,sts1_mushrooms,mushrooms.png,sts1_mushrooms.png,true
scorpionNest,sts1_scorpion_nest,scorpionNest.png,sts1_scorpion_nest.png,true
treasureOoze,sts1_treasure_ooze,treasureOoze.png,sts1_treasure_ooze.png,true
altar,sts1_altar,altar.png,sts1_altar.png,true
councilOfGhosts,sts1_council_of_ghosts,councilOfGhosts.png,sts1_council_of_ghosts.png,true
cursedTome,sts1_cursed_tome,cursedTome.png,sts1_cursed_tome.png,true
drugDealer,sts1_drug_dealer,drugDealer.png,sts1_drug_dealer.png,true
forgottenAltar,sts1_forgotten_altar,forgottenAltar.png,sts1_forgotten_altar.png,true
theGhost,sts1_the_ghost,theGhost.png,sts1_the_ghost.png,true
knowingSkull,sts1_knowing_skull,knowingSkull.png,sts1_knowing_skull.png,true
nest,sts1_nest,nest.png,sts1_nest.png,true
theLibrary,sts1_the_library,theLibrary.png,sts1_the_library.png,true
maskedBandits,sts1_masked_bandits,maskedBandits.png,sts1_masked_bandits.png,true
nloth,sts1_nloth,nloth.png,sts1_nloth.png,true
vampires,sts1_vampires,vampires.png,sts1_vampires.png,true
ancientWriting,sts1_ancient_writing,ancientWriting.png,sts1_ancient_writing.png,true
augmenter,sts1_augmenter,augmenter.png,sts1_augmenter.png,true
sensoryStone,sts1_sensory_stone,sensoryStone.png,sts1_sensory_stone.png,true
falling,sts1_falling,falling.png,sts1_falling.png,true
mindBloom,sts1_mind_bloom,mindBloom.png,sts1_mind_bloom.png,true
moaiHead,sts1_moai_head,moaiHead.png,sts1_moai_head.png,true
mysteriousSphere,sts1_mysterious_sphere,mysteriousSphere.png,sts1_mysterious_sphere.png,true
tombOfLordRedMask,sts1_tomb_of_lord_red_mask,tombOfLordRedMask.png,sts1_tomb_of_lord_red_mask.png,true
windingHalls,sts1_winding_halls,windingHalls.png,sts1_winding_halls.png,true
transmogrifier,sts1_transmogrifier,transmogrifier.png,sts1_transmogrifier.png,true
upgradeShrine,sts1_upgrade_shrine,upgradeShrine.png,sts1_upgrade_shrine.png,true
purifier,sts1_purifier,purifier.png,sts1_purifier.png,true
goldenShrine,sts1_golden_shrine,goldenShrine.png,sts1_golden_shrine.png,true
